
#---------------------------------------------------------------------------------------------------------
## List of Regions, root logical volumes and cuts. 
## Number of regions = 26
#                 Region,                        LogicalVolume,  Cuts:Gamma, Electron, Positron, Proton, Units
#---------------------------------------------------------------------------------------------------------
   "TrackerOuterSensRegion" , "OTLayer2R14BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R14BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R13BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R13BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R12BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R12BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R11BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R11BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R10BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer2R10BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R9BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R9BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R8BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R8BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R7BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R7BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R6BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R6BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R5BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R5BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R4BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R4BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R3BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R3BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R2BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R2BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R1BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R1BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R16BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R16BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R15BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R15BModuleLowerPSMacroPixelactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
   "TrackerOuterSensRegion" , "OTLayer1R14BModuleUpperPSStripactive" ,  0.01 ,   0.01 ,   0.01 ,   0.01 ,   mm
