New run! (theta, phi) = 
159	3.87633	HGCalEEConnector00Coarse1	HGC_EEConnector
160	1.66277	HGCalEEPCB00Coarse1	HGC_G10-FR4
161	0.233827	HGCalEEAirGap00Coarse1	Air
162	0.103923	HGCalEEAbsorberCopper11	Copper
163	0.311769	HGCalEEAbsorberStainlessSteel11	StainlessSteel
164	0.0519615	HGCalEEAbsorberEpoxy11	Epoxy
165	5.16498	HGCalEEAbsorberLead25	Lead
166	0.0519615	HGCalEEAbsorberEpoxy12	Epoxy
167	0.311769	HGCalEEAbsorberStainlessSteel12	StainlessSteel
168	0.103923	HGCalEEAbsorberCopper12	Copper
169	0.233827	HGCalEEAirGap10Coarse1	Air
170	1.66277	HGCalEEPCB10Coarse1	HGC_G10-FR4
171	2.6202	HGCalEEConnector10Coarse1	HGC_EEConnector
172	1.33135	HGCalEEWafer10Coarse1	Air
173	0.380385	HGCalEELayerF11	Air
174	1.65467	HGCalEEWafer10Coarse2	Air
175	0.00975154	HGCalEEEpoxyT10Coarse2	Epoxy
176	0.275396	HGCalEEKapton10Coarse2	Kapton
177	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
178	1.45492	HGCalEEBasePlate10Coarse2	WCu
179	6.28734	HGCalEECoolingPlate6	Copper
180	1.45492	HGCalEEBasePlate00Coarse2	WCu
181	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
182	0.275396	HGCalEEKapton00Coarse2	Kapton
183	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
184	0.311769	HGCalEECellSensitiveCorner21Coarse2	Silicon
185	0.0779423	HGCalEEEpoxy00Coarse2	Epoxy
186	1.66277	HGCalEEMotherBoard00Coarse2	HGC_G10-FR4
187	3.87633	HGCalEEConnector00Coarse2	HGC_EEConnector
188	1.66277	HGCalEEPCB00Coarse2	HGC_G10-FR4
189	0.233827	HGCalEEAirGap00Coarse2	Air
190	0.103923	HGCalEEAbsorberCopper13	Copper
191	0.311769	HGCalEEAbsorberStainlessSteel13	StainlessSteel
192	0.0519615	HGCalEEAbsorberEpoxy13	Epoxy
193	5.16498	HGCalEEAbsorberLead26	Lead
194	0.0519615	HGCalEEAbsorberEpoxy14	Epoxy
195	0.311769	HGCalEEAbsorberStainlessSteel14	StainlessSteel
196	0.103923	HGCalEEAbsorberCopper14	Copper
197	0.233827	HGCalEEAirGap10Coarse1	Air
198	1.66277	HGCalEEPCB10Coarse1	HGC_G10-FR4
199	3.87633	HGCalEEConnector10Coarse1	HGC_EEConnector
200	1.66277	HGCalEEMotherBoard10Coarse1	HGC_G10-FR4
201	0.0779423	HGCalEEEpoxy10Coarse1	Epoxy
202	0.0519615	HGCalEEWafer10Coarse1	Air
203	0.207846	HGCalEECellSensitiveExten04Coarse1	Silicon
204	0.0519615	HGCalEEWafer10Coarse1	Air
205	0.06755	HGCalEEEpoxyT10Coarse1	Epoxy
206	0.275396	HGCalEEKapton10Coarse1	Kapton
207	0.06755	HGCalEEEpoxyT10Coarse1	Epoxy
208	1.45492	HGCalEEBasePlate10Coarse1	WCu
209	6.28734	HGCalEECoolingPlate7	Copper
210	1.45492	HGCalEEBasePlate00Coarse1	WCu
211	0.06755	HGCalEEEpoxyT00Coarse1	Epoxy
212	0.275396	HGCalEEKapton00Coarse1	Kapton
213	0.06755	HGCalEEEpoxyT00Coarse1	Epoxy
214	0.0519615	HGCalEEWafer00Coarse1	Air
215	0.207846	HGCalEECellSensitiveFull1Coarse1	Silicon
216	0.0519615	HGCalEEWafer00Coarse1	Air
217	0.0779423	HGCalEEEpoxy00Coarse1	Epoxy
218	1.66277	HGCalEEMotherBoard00Coarse1	HGC_G10-FR4
219	3.87633	HGCalEEConnector00Coarse1	HGC_EEConnector
220	1.66277	HGCalEEPCB00Coarse1	HGC_G10-FR4
221	0.233827	HGCalEEAirGap00Coarse1	Air
222	0.103923	HGCalEEAbsorberCopper15	Copper
223	0.311769	HGCalEEAbsorberStainlessSteel15	StainlessSteel
224	0.0519615	HGCalEEAbsorberEpoxy15	Epoxy
225	5.16498	HGCalEEAbsorberLead27	Lead
226	0.0519615	HGCalEEAbsorberEpoxy16	Epoxy
227	0.311769	HGCalEEAbsorberStainlessSteel16	StainlessSteel
228	0.103923	HGCalEEAbsorberCopper16	Copper
229	0.233827	HGCalEEAirGap10Coarse2	Air
230	1.66277	HGCalEEPCB10Coarse2	HGC_G10-FR4
231	3.87633	HGCalEEConnector10Coarse2	HGC_EEConnector
232	1.66277	HGCalEEMotherBoard10Coarse2	HGC_G10-FR4
233	0.0779423	HGCalEEEpoxy10Coarse2	Epoxy
234	0.311769	HGCalEECellSensitiveFull0Coarse2	Silicon
235	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
236	0.275396	HGCalEEKapton10Coarse2	Kapton
237	0.06755	HGCalEEEpoxyT10Coarse2	Epoxy
238	1.45492	HGCalEEBasePlate10Coarse2	WCu
239	6.28734	HGCalEECoolingPlate8	Copper
240	1.45492	HGCalEEBasePlate00Coarse2	WCu
241	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
242	0.275396	HGCalEEKapton00Coarse2	Kapton
243	0.06755	HGCalEEEpoxyT00Coarse2	Epoxy
244	0.311769	HGCalEECellSensitiveFull1Coarse2	Silicon
245	0.0779423	HGCalEEEpoxy00Coarse2	Epoxy
246	1.66277	HGCalEEMotherBoard00Coarse2	HGC_G10-FR4
247	3.87633	HGCalEEConnector00Coarse2	HGC_EEConnector
248	1.66277	HGCalEEPCB00Coarse2	HGC_G10-FR4
249	0.233827	HGCalEEAirGap00Coarse2	Air
250	0.103923	HGCalEEAbsorberCopper17	Copper
