New run! (theta, phi) = 
26.5651	6.37937
1	3230.5	logic-World	Galactic
312	0.065405	HGCalEEEpoxyT11Fine	Epoxy
313	1.40872	HGCalEEBasePlate11Fine	WCu
314	6.0877	HGCalEECoolingPlate11	Copper
315	1.40872	HGCalEEBasePlate05Fine	WCu
316	0.065405	HGCalEEEpoxyT05Fine	Epoxy
317	0.266651	HGCalEEKapton05Fine	Kapton
318	0.065405	HGCalEEEpoxyT05Fine	Epoxy
319	0.181122	HGCalEECellFull1Fine	Silicon
320	0.120748	HGCalEECellSensitiveFull1Fine	Silicon
321	0.0754673	HGCalEEEpoxy05Fine	Epoxy
322	1.60997	HGCalEEMotherBoard05Fine	HGC_G10-FR4
323	3.75324	HGCalEEConnector05Fine	HGC_EEConnector
324	1.60997	HGCalEEPCB05Fine	HGC_G10-FR4
325	0.226402	HGCalEEAirGap05Fine	Air
326	0.100623	HGCalEEAbsorberCopper23	Copper
327	0.301869	HGCalEEAbsorberStainlessSteel23	StainlessSteel
328	0.0503115	HGCalEEAbsorberEpoxy23	Epoxy
329	8.27122	HGCalEEAbsorberLead33	Lead
330	0.0503115	HGCalEEAbsorberEpoxy24	Epoxy
331	0.301869	HGCalEEAbsorberStainlessSteel24	StainlessSteel
332	0.100623	HGCalEEAbsorberCopper24	Copper
333	0.226402	HGCalEEAirGap11Fine	Air
334	1.60997	HGCalEEPCB11Fine	HGC_G10-FR4
335	3.75324	HGCalEEConnector11Fine	HGC_EEConnector
336	1.60997	HGCalEEMotherBoard11Fine	HGC_G10-FR4
337	0.0754673	HGCalEEEpoxy11Fine	Epoxy
338	0.120748	HGCalEECellSensitiveFull0Fine	Silicon
339	0.181122	HGCalEECellFull0Fine	Silicon
340	0.065405	HGCalEEEpoxyT11Fine	Epoxy
341	0.266651	HGCalEEKapton11Fine	Kapton
342	0.065405	HGCalEEEpoxyT11Fine	Epoxy
343	1.40872	HGCalEEBasePlate11Fine	WCu
344	6.0877	HGCalEECoolingPlate12	Copper
345	1.40872	HGCalEEBasePlate05Fine	WCu
346	0.065405	HGCalEEEpoxyT05Fine	Epoxy
347	0.266651	HGCalEEKapton05Fine	Kapton
348	0.065405	HGCalEEEpoxyT05Fine	Epoxy
349	0.181122	HGCalEECellFull1Fine	Silicon
350	0.120748	HGCalEECellSensitiveFull1Fine	Silicon
351	0.0754673	HGCalEEEpoxy05Fine	Epoxy
352	1.60997	HGCalEEMotherBoard05Fine	HGC_G10-FR4
353	3.75324	HGCalEEConnector05Fine	HGC_EEConnector
354	1.60997	HGCalEEPCB05Fine	HGC_G10-FR4
355	0.226402	HGCalEEAirGap05Fine	Air
356	0.100623	HGCalEEAbsorberCopper25	Copper
357	0.301869	HGCalEEAbsorberStainlessSteel25	StainlessSteel
358	0.0503115	HGCalEEAbsorberEpoxy25	Epoxy
359	8.27122	HGCalEEAbsorberLead34	Lead
360	0.0503115	HGCalEEAbsorberEpoxy26	Epoxy
361	0.301869	HGCalEEAbsorberStainlessSteel26	StainlessSteel
362	0.100623	HGCalEEAbsorberCopper26	Copper
363	0.226402	HGCalEEAirGap11Fine	Air
364	1.60997	HGCalEEPCB11Fine	HGC_G10-FR4
365	3.75324	HGCalEEConnector11Fine	HGC_EEConnector
366	1.60997	HGCalEEMotherBoard11Fine	HGC_G10-FR4
367	0.0754673	HGCalEEEpoxy11Fine	Epoxy
368	0.120748	HGCalEECellSensitiveFull0Fine	Silicon
369	0.181122	HGCalEECellFull0Fine	Silicon
370	0.065405	HGCalEEEpoxyT11Fine	Epoxy
371	0.266651	HGCalEEKapton11Fine	Kapton
372	0.065405	HGCalEEEpoxyT11Fine	Epoxy
373	1.40872	HGCalEEBasePlate11Fine	WCu
374	6.0877	HGCalEECoolingPlate13	Copper
375	1.40872	HGCalEEBasePlate05Fine	WCu
376	0.065405	HGCalEEEpoxyT05Fine	Epoxy
377	0.266651	HGCalEEKapton05Fine	Kapton
378	0.065405	HGCalEEEpoxyT05Fine	Epoxy
379	0.181122	HGCalEECellFull1Fine	Silicon
380	0.120748	HGCalEECellSensitiveFull1Fine	Silicon
381	0.0754673	HGCalEEEpoxy05Fine	Epoxy
382	1.60997	HGCalEEMotherBoard05Fine	HGC_G10-FR4
383	3.75324	HGCalEEConnector05Fine	HGC_EEConnector
384	1.60997	HGCalEEPCB05Fine	HGC_G10-FR4
385	0.226402	HGCalEEAirGap05Fine	Air
386	1.00623	HGCalEEStainlessSteelCover1	StainlessSteel
387	1.25779	HGCalHEAirGap01	Air
388	45.2804	HGCalHEAbsorber11	StainlessSteel
389	4.02492	HGCalHEAirGap11	Air
390	2.51558	HGCalHESteelCover1	StainlessSteel
391	0.402492	HGCalHEAirGap11Fine	Air
392	1.60997	HGCalHEPCB11Fine	HGC_G10-FR4
393	3.49665	HGCalHEConnector11Fine	HGC_HEConnector
394	1.60997	HGCalHEMotherBoard11Fine	HGC_G10-FR4
395	0.0754673	HGCalHEEpoxy11Fine	Epoxy
396	0.120748	HGCalHESiliconCellSensitiveFull0Fine	Silicon
397	0.181122	HGCalHECellFull0Fine	Silicon
398	0.0754673	HGCalHEEpoxy11Fine	Epoxy
399	0.100623	HGCalHEKapton11Fine	Kapton
400	0.0754673	HGCalHEEpoxy11Fine	Epoxy
401	1.00623	HGCalHEBasePlate11Fine	HGC_G10-FR4
402	6.38956	HGCalHECoolingPlate1	Copper
403	41.7586	HGCalHEAbsorber21	StainlessSteel
404	4.02492	HGCalHEAirGap12	Air
405	2.51558	HGCalHESteelCover2	StainlessSteel
406	0.402492	HGCalHEAirGap10FineHD1	Air
407	1.60997	HGCalHEPCB10FineHD1	HGC_G10-FR4
408	3.49665	HGCalHEConnector10FineHD1	HGC_HEConnector
409	1.60997	HGCalHEMotherBoard10FineHD1	HGC_G10-FR4
410	0.0754673	HGCalHEEpoxy10FineHD1	Epoxy
411	0.120748	HGCalHESiliconCellSensitive10FineHD1	Silicon
412	0.181122	HGCalHESiliconSensitive10FineHD1	Silicon
413	0.0754673	HGCalHEEpoxy10FineHD1	Epoxy
414	0.100623	HGCalHEKapton10FineHD1	Kapton
415	0.0754673	HGCalHEEpoxy10FineHD1	Epoxy
416	1.00623	HGCalHEBasePlate10FineHD1	HGC_G10-FR4
417	6.38956	HGCalHECoolingPlate2	Copper
418	41.7586	HGCalHEAbsorber22	StainlessSteel
419	4.02492	HGCalHEAirGap13	Air
420	2.51558	HGCalHESteelCover3	StainlessSteel
421	0.402492	HGCalHEAirGap11Fine	Air
422	1.60997	HGCalHEPCB11Fine	HGC_G10-FR4
423	3.49665	HGCalHEConnector11Fine	HGC_HEConnector
424	1.60997	HGCalHEMotherBoard11Fine	HGC_G10-FR4
425	0.0754673	HGCalHEEpoxy11Fine	Epoxy
426	0.120748	HGCalHESiliconCellSensitiveFull0Fine	Silicon
427	0.181122	HGCalHECellFull0Fine	Silicon
428	0.0754673	HGCalHEEpoxy11Fine	Epoxy
429	0.100623	HGCalHEKapton11Fine	Kapton
430	0.0754673	HGCalHEEpoxy11Fine	Epoxy
431	1.00623	HGCalHEBasePlate11Fine	HGC_G10-FR4
432	6.38956	HGCalHECoolingPlate3	Copper
433	41.7586	HGCalHEAbsorber23	StainlessSteel
434	4.02492	HGCalHEAirGap14	Air
435	2.51558	HGCalHESteelCover4	StainlessSteel
436	0.402492	HGCalHEAirGap10Fine	Air
437	1.60997	HGCalHEPCB10Fine	HGC_G10-FR4
438	3.49665	HGCalHEConnector10Fine	HGC_HEConnector
439	1.60997	HGCalHEMotherBoard10Fine	HGC_G10-FR4
